Operon,IdGene,Type,COGgene,PosLeft,PosRight,Strand,Function
400,cds661,CDS,COG0675,606419,607624,-,[L] Transposase and inactivated derivatives  
400,cds662,CDS,COG1943,607599,608006,-,[L] Transposase and inactivated derivatives  
401,cds663,CDS,COG0589,608153,608584,-,[T] Universal stress protein UspA and related
402,cds664,CDS,COG2355,608901,609839,-,"[E] Zn-dependent dipeptidase, microsomal dipeptidase homolog "
402,cds665,CDS,ROG6708,609784,610980,-,NA
402,cds666,CDS,COG0467,611017,611850,-,[T] RecA-superfamily ATPases implicated in signal transduction
403,cds667,CDS,COG1968,612007,612843,+,[V] Uncharacterized bacitracin resistance protein  
403,cds668,CDS,COG0501,612864,613799,+,[O] Zn-dependent protease with chaperone function 
404,cds669,CDS,COG0512,614065,614694,+,[EH] Anthranilate/para-aminobenzoate synthases component II  
405,cds670,CDS,ROG6541,614922,615443,-,NA
405,cds671,CDS,ROG3743,615450,615971,-,NA
406,cds672,CDS,COG1228,616768,617958,+,[Q] Imidazolonepropionase and related amidohydrolases  
407,cds673,CDS,NA,617959,618547,-,NA
407,cds674,CDS,NA,618557,619146,-,NA
407,cds675,CDS,ROG3509,619182,619715,-,NA
408,cds676,CDS,COG2226,620185,620883,+,[H] Methylase involved in ubiquinone/menaquinone biosynthesis 
409,cds677,CDS,ROG5930,621000,621803,+,NA
410,cds678,CDS,COG0531,621825,623201,-,[E] Amino acid transporters   
411,cds679,CDS,COG3374,623184,623876,+,[S] Predicted membrane protein   
412,cds680,CDS,COG1042,623989,625971,+,[C] Acyl-CoA synthetase (NDP forming)  
412,cds681,CDS,ROG8345,626028,626558,+,NA
413,cds682,CDS,COG1146,626611,626925,-,[C] Ferredoxin     
414,cds683,CDS,ROG5951,627074,627526,+,NA
414,cds684,CDS,COG5592,627554,627994,+,[S] Uncharacterized conserved protein   
414,cds685,CDS,ROG2625,628042,629085,+,NA
414,cds686,CDS,ROG8260,629082,629810,+,NA
415,cds687,CDS,COG0425,630114,630356,+,"[O] Predicted redox protein, regulator of disulfide"
416,cds688,CDS,COG0826,630371,631528,-,[O] Collagenase and related proteases  
417,cds689,CDS,COG1024,631643,632446,-,[I] Enoyl-CoA hydratase/carnithine racemase   
417,cds690,CDS,COG3396,632456,632638,-,[S] Uncharacterized conserved protein   
418,cds691,CDS,COG3327,632622,632945,+,[K] Phenylacetic acid-responsive transcriptional repressor  
418,cds692,CDS,COG0121,632983,633669,+,[R] Predicted glutamine amidotransferase   
418,cds693,CDS,NA,633723,633990,+,NA
419,cds694,CDS,COG0675,633943,635148,-,[L] Transposase and inactivated derivatives  
420,cds695,CDS,ROG8161,635534,635842,+,NA
421,cds696,CDS,COG1902,635960,637627,+,"[C] NADH:flavin oxidoreductases, Old Yellow Enzyme family"
422,cds697,CDS,ROG3803,637838,638032,-,NA
423,cds698,CDS,NA,638242,638427,-,NA
424,cds699,CDS,ROG6209,638590,638808,+,NA
424,cds700,CDS,ROG3406,638805,639332,+,NA
425,cds701,CDS,COG0500,639426,639995,-,[QR] SAM-dependent methyltransferases    
426,cds702,CDS,COG1011,640076,640714,+,[R] Predicted hydrolase (HAD superfamily)  
427,cds703,CDS,ROG5403,640804,641529,+,NA
427,cds704,CDS,COG1122,641526,643118,+,"[P] ABC-type cobalt transport system, ATPase component"
427,cds705,CDS,COG0619,643102,644067,+,"[P] ABC-type cobalt transport system, permease component"
428,cds706,CDS,COG3385,644743,645784,+,[L] FOG: Transposase and inactivated derivatives 
429,cds707,CDS,ROG7744,646104,646682,-,NA
429,cds708,CDS,ROG2053,646657,647817,-,NA
430,cds709,CDS,COG0513,647885,648967,+,[LKJ] Superfamily II DNA and RNA helicases
430,cds710,CDS,ROG4450,649005,650669,+,NA
431,cds711,CDS,COG1988,650672,651544,-,[R] Predicted membrane-bound metal-dependent hydrolases  
432,cds712,CDS,COG0477,651891,653174,+,[GEPR] Permeases of the major facilitator superfamily
432,cds713,CDS,COG1228,653184,654410,+,[Q] Imidazolonepropionase and related amidohydrolases  
432,cds714,CDS,COG0318,654458,655954,+,[IQ] Acyl-CoA synthetases (AMP-forming)/AMP-acid ligases II 
433,cds715,CDS,COG1953,655959,657440,-,[FH] Cytosine/uracil/thiamine/allantoin permeases    
434,cds716,CDS,COG0531,657836,659686,+,[E] Amino acid transporters   
435,cds717,CDS,COG0334,659997,661256,+,[E] Glutamate dehydrogenase/leucine dehydrogenase   
436,cds718,CDS,COG0675,661498,662703,-,[L] Transposase and inactivated derivatives  
437,cds719,CDS,ROG4450,662857,665487,+,NA
438,cds720,CDS,COG0675,665842,667047,-,[L] Transposase and inactivated derivatives  
438,cds721,CDS,COG1943,667022,667429,-,[L] Transposase and inactivated derivatives  
439,cds722,CDS,NA,667630,667815,+,NA
440,cds723,CDS,COG3654,667802,668233,-,[R] Prophage maintenance system killer protein 
441,cds724,CDS,NA,668622,668924,-,NA
442,cds725,CDS,COG2211,669042,670460,-,[G] Na+/melibiose symporter and related transporters 
443,cds726,CDS,COG1848,671350,671769,-,"[R] Predicted nucleic acid-binding protein, contains PIN"
443,cds727,CDS,COG2002,671766,672002,-,[K] Regulators of stationary/sporulation gene expression 
444,cds728,CDS,ROG5186,672785,673135,+,NA
445,cds729,CDS,NA,673145,673639,-,NA
446,cds730,CDS,COG5592,673704,674111,+,[S] Uncharacterized conserved protein   
447,cds731,CDS,COG1594,674108,674386,-,"[K] DNA-directed RNA polymerase, subunit M/Transcription elongation"
447,cds732,CDS,COG3384,674404,675177,-,[S] Uncharacterized conserved protein   
447,cds733,CDS,COG2368,675229,676704,-,[Q] Aromatic ring hydroxylase   
447,hpaD,CDS,COG0346,676701,677648,-,[E] Lactoylglutathione lyase and related lyases 
447,cds735,CDS,COG1853,677704,678171,-,[R] Conserved protein/domain typically associated with flavoprotein
447,cds736,CDS,ROG2472,678227,679705,-,NA
448,cds737,CDS,COG3413,679837,680469,+,[R] Predicted DNA binding protein  
449,cds738,CDS,COG0365,680461,682329,-,[I] Acyl-coenzyme A synthetases/AMP-(fatty) acid ligases 
450,cds739,CDS,COG1960,682430,683545,+,[I] Acyl-CoA dehydrogenases    
451,cds740,CDS,NA,683609,684754,+,NA
451,cds741,CDS,COG0332,684751,685929,+,[I] 3-oxoacyl-[acyl-carrier-protein] synthase III   
451,cds742,CDS,COG1545,685941,686438,+,[R] Predicted nucleic-acid-binding protein containing a Zn-ribbon
451,cds743,CDS,COG1545,686439,686873,+,[R] Predicted nucleic-acid-binding protein containing a Zn-ribbon
452,cds744,CDS,COG3385,687201,688242,+,[L] FOG: Transposase and inactivated derivatives 
453,cds745,CDS,NA,688622,688885,-,NA
454,cds746,CDS,NA,689143,689382,-,NA
455,cds747,CDS,COG4231,689948,691786,+,"[C] Indolepyruvate ferredoxin oxidoreductase, alpha and beta"
455,cds748,CDS,COG1014,691774,692358,+,"[C] Pyruvate:ferredoxin oxidoreductase and related 2-oxoacid:ferredoxin oxidoreductases,"
455,cds749,CDS,COG0365,692348,694171,+,[I] Acyl-coenzyme A synthetases/AMP-(fatty) acid ligases 
456,cds750,CDS,COG1225,694164,694625,-,[O] Peroxiredoxin     
457,cds751,CDS,NA,694968,695709,-,NA
458,cds752,CDS,NA,695794,697566,-,NA
459,cds753,CDS,NA,697859,698189,-,NA
459,cds754,CDS,COG2250,698173,698589,-,[S] Uncharacterized conserved protein related to C-terminal
459,cds755,CDS,NA,698626,699000,-,NA
460,cds756,CDS,COG3398,699214,699561,-,[S] Uncharacterized protein conserved in archaea 
460,cds757,CDS,NA,699518,700135,-,NA
460,cds758,CDS,COG4555,700136,700912,-,"[CP] ABC-type Na+ transport system, ATPase component"
461,cds759,CDS,ROG3298,701012,701839,+,NA
462,cds760,CDS,COG0675,702344,703549,-,[L] Transposase and inactivated derivatives  
462,cds761,CDS,COG1943,703524,703931,-,[L] Transposase and inactivated derivatives  
463,cds762,CDS,NA,704556,704741,-,NA
464,cds763,CDS,COG1804,704862,705977,-,[C] Predicted acyl-CoA transferases/carnitine dehydratase  
465,cds764,CDS,COG0318,706078,707712,+,[IQ] Acyl-CoA synthetases (AMP-forming)/AMP-acid ligases II 
466,cds765,CDS,COG0477,707718,709007,-,[GEPR] Permeases of the major facilitator superfamily
467,cds766,CDS,COG0675,709144,709467,+,[L] Transposase and inactivated derivatives  
468,cds767,CDS,COG2225,709721,712201,+,[C] Malate synthase    
468,cds768,CDS,COG2224,712658,713971,+,[C] Isocitrate lyase    
469,cds769,CDS,ROG1345,714782,715027,+,NA
469,cds770,CDS,ROG6098,715024,715437,+,NA
470,cds771,CDS,COG0598,715581,716318,+,[P] Mg2+ and Co2+ transporters  
471,rfbC,CDS,COG1898,716450,716980,-,"[M] dTDP-4-dehydrorhamnose 3,5-epimerase and related enzymes "
472,cds773,CDS,NA,717058,717261,-,NA
473,cds774,CDS,NA,717500,717688,-,NA
474,cds775,CDS,ROG1934,717807,718139,+,NA
474,cds776,CDS,COG5550,718117,718497,+,[O] Predicted aspartyl protease   
475,cds777,CDS,COG0334,718565,719824,-,[E] Glutamate dehydrogenase/leucine dehydrogenase   
476,cds778,CDS,NA,720085,720528,+,NA
476,cds779,CDS,COG1672,720525,720932,+,[R] Predicted ATPase (AAA+ superfamily)  
476,cds780,CDS,COG0675,720922,721200,+,[L] Transposase and inactivated derivatives  
477,ilvC,CDS,COG0059,721261,722256,-,[EH] Ketol-acid reductoisomerase    
477,cds782,CDS,COG0422,722300,722756,-,[H] Thiamine biosynthesis protein ThiC  
477,cds783,CDS,ROG2022,722707,722910,-,NA
477,cds784,CDS,ROG2022,722873,723238,-,NA
478,cds785,CDS,ROG7338,723523,724548,-,NA
478,cds786,CDS,ROG7415,724549,724758,-,NA
479,cds787,CDS,NA,724881,725192,+,NA
480,cas4a,CDS,COG4343,732942,733793,+,[S] Uncharacterized protein conserved in archaea 
480,cas1,CDS,COG1518,733800,734708,+,[L] Uncharacterized protein predicted to be involved
480,cas2,CDS,COG1343,734819,735088,+,[L] Uncharacterized protein predicted to be involved
480,cas4,CDS,COG1468,735076,735603,+,[L] RecB family exonuclease   
481,cds792,CDS,COG2865,735678,736370,-,[K] Predicted transcriptional regulator containing an HTH
482,cds793,CDS,ROG6989,742804,743415,+,NA
483,csa5,CDS,NA,743494,743925,+,NA
483,cas7a,CDS,COG1857,743922,744887,+,[L] Uncharacterized protein predicted to be involved
483,cas5a,CDS,COG1688,744903,745625,+,[L] Uncharacterized protein predicted to be involved
483,cas3,CDS,COG1203,745609,747114,+,[R] Predicted helicases    
483,cds798,CDS,COG2254,747111,747821,+,"[L] Predicted HD superfamily hydrolase, possibly a"
483,csaX,CDS,NA,747802,748839,+,NA
483,cas6,CDS,COG5551,748839,749735,+,[S] Uncharacterized conserved protein   
484,cds801,CDS,NA,750455,750679,-,NA
485,cds802,CDS,NA,750898,751089,-,NA
486,cds803,CDS,COG0675,751376,752581,-,[L] Transposase and inactivated derivatives  
486,cds804,CDS,COG1943,752556,752963,-,[L] Transposase and inactivated derivatives  
487,cds805,CDS,COG1848,753352,753750,-,"[R] Predicted nucleic acid-binding protein, contains PIN"
487,cds806,CDS,COG2002,753728,753964,-,[K] Regulators of stationary/sporulation gene expression 
488,cds807,CDS,COG1373,754333,755574,+,[R] Predicted ATPase (AAA+ superfamily)  
489,cds808,CDS,NA,755628,755841,-,NA
490,cds809,CDS,COG3885,756169,756942,+,[S] Uncharacterized conserved protein   
491,cds810,CDS,ROG6510,757337,757753,-,NA
491,cds811,CDS,ROG2766,757734,758600,-,NA
491,cds812,CDS,ROG1283,758644,759120,-,NA
492,cds813,CDS,COG0738,759217,760341,+,[G] Fucose permease    
492,cds814,CDS,ROG7670,760365,760775,+,NA
492,cds815,CDS,ROG5893,760772,761311,+,NA
493,cds816,CDS,COG0463,761294,762022,-,[M] Glycosyltransferases involved in cell wall biogenesis
494,cds817,CDS,ROG7596,762156,762629,-,NA
494,cds818,CDS,COG1473,762659,763840,-,[R] Metal-dependent amidase/aminoacylase/carboxypeptidase    
495,cds819,CDS,NA,764004,764252,+,NA
495,cds820,CDS,ROG3927,764260,765264,+,NA
496,cds821,CDS,COG4354,765324,767309,+,[G] Predicted bile acid beta-glucosidase  
497,cds822,CDS,NA,767492,768534,+,NA
498,cds823,CDS,NA,768642,768773,-,NA
499,cds824,CDS,COG3342,769046,769850,-,[S] Uncharacterized conserved protein   
500,cds825,CDS,ROG0054,769990,770841,-,NA
501,cds826,CDS,NA,771056,771355,+,NA
502,cds827,CDS,COG2026,771719,772030,-,[JD] Cytotoxic translational repressor of toxin-antitoxin stability
503,cds828,CDS,ROG3406,772097,772651,-,NA
504,cds829,CDS,ROG8458,772721,773575,-,NA
505,cds830,CDS,COG1131,773804,774697,+,"[V] ABC-type multidrug transport system, ATPase component"
505,cds831,CDS,COG1277,774690,775523,+,[R] ABC-type transport system involved in multi-copper
506,cds832,CDS,COG3335,775659,776634,+,[L] Transposase and inactivated derivatives  
506,cds833,CDS,ROG6275,776654,777409,+,NA
507,cds834,CDS,ROG6332,777777,779030,+,NA
508,cds835,CDS,NA,779023,779220,-,NA
509,cds836,CDS,COG0624,779247,779690,+,[E] Acetylornithine deacetylase/Succinyl-diaminopimelate desuccinylase and related deacylases
510,cds837,CDS,COG1753,779913,780122,+,[S] Uncharacterized conserved protein   
510,cds838,CDS,COG1487,780110,780502,+,"[R] Predicted nucleic acid-binding protein, contains PIN"
511,cds839,CDS,COG0675,780748,781953,+,[L] Transposase and inactivated derivatives  
512,cds840,CDS,ROG6492,781847,782104,-,NA
513,cds841,CDS,COG4006,782405,783373,+,[S] Uncharacterized protein conserved in archaea 
513,cds842,CDS,COG5550,783363,783680,+,[O] Predicted aspartyl protease   
514,cds843,CDS,COG1106,783844,784095,+,[R] Predicted ATPases    
515,cds844,CDS,ROG7083,784761,785150,-,NA
515,cds845,CDS,NA,785143,785409,-,NA
516,cds846,CDS,ROG2022,785695,786165,+,NA
517,cds847,CDS,COG2402,786371,786781,-,"[R] Predicted nucleic acid-binding protein, contains PIN"
517,cds848,CDS,NA,786784,787296,-,NA
517,cds849,CDS,NA,787299,787898,-,NA
518,cds850,CDS,ROG1524,788183,789142,-,NA
519,cds851,CDS,COG3547,789281,790212,-,[L] Transposase and inactivated derivatives  
520,cds852,CDS,COG0778,790437,791132,-,[C] Nitroreductase     
520,cds853,CDS,COG1944,791142,792440,-,[S] Uncharacterized conserved protein   
520,cds854,CDS,NA,792428,792970,-,NA
521,cds855,CDS,NA,793323,793973,+,NA
522,cds856,CDS,ROG3298,794188,794925,+,NA
522,cds857,CDS,COG4555,794925,795557,+,"[CP] ABC-type Na+ transport system, ATPase component"
522,cds858,CDS,NA,795581,796306,+,NA
522,cds859,CDS,NA,796293,796589,+,NA
523,cds860,CDS,COG4555,796731,797327,+,"[CP] ABC-type Na+ transport system, ATPase component"
524,cds861,CDS,ROG1524,797482,798441,-,NA
525,cds862,CDS,COG1106,798733,799771,+,[R] Predicted ATPases    
525,cds863,CDS,NA,799761,800255,+,NA
526,cds864,CDS,COG0463,800536,801324,-,[M] Glycosyltransferases involved in cell wall biogenesis
527,cds865,CDS,ROG5483,801887,803275,+,NA
527,cds866,CDS,NA,803262,803879,+,NA
528,cds867,CDS,NA,803924,804103,-,NA
529,cds868,CDS,COG1088,804547,805488,-,"[M] dTDP-D-glucose 4,6-dehydratase    "
529,cds869,CDS,COG1209,805485,806525,-,[M] dTDP-glucose pyrophosphorylase    
529,cds870,CDS,COG1091,806526,807350,-,[M] dTDP-4-dehydrorhamnose reductase    
529,rfbC_2,CDS,COG1898,807704,808240,-,"[M] dTDP-4-dehydrorhamnose 3,5-epimerase and related enzymes "
530,cds872,CDS,COG0500,808340,809059,-,[QR] SAM-dependent methyltransferases    
531,cds873,CDS,NA,809107,809451,+,NA
532,cds874,CDS,NA,809577,810370,+,NA
533,cds875,CDS,NA,810478,811218,-,NA
534,cds876,CDS,ROG8494,811476,811778,+,NA
535,cds877,CDS,NA,811853,812890,+,NA
536,cds878,CDS,COG3677,813752,814408,+,[L] Transposase and inactivated derivatives  
537,cds879,CDS,COG4076,814783,815691,-,[R] Predicted RNA methylase   
538,cds880,CDS,COG3677,815854,816135,+,[L] Transposase and inactivated derivatives  
539,cds881,CDS,COG0438,816777,817886,-,[M] Glycosyltransferase     
540,cds882,CDS,NA,818195,818389,+,NA
541,cds883,CDS,COG3547,818509,819626,+,[L] Transposase and inactivated derivatives  
542,cds884,CDS,COG3547,819682,820632,-,[L] Transposase and inactivated derivatives  
543,cds885,CDS,NA,820781,821215,+,NA
544,cds886,CDS,COG0500,821181,821492,-,[QR] SAM-dependent methyltransferases    
544,cds887,CDS,COG3415,821516,822497,-,[L] Transposase and inactivated derivatives  
545,cds888,CDS,COG1216,822816,823712,+,[R] Predicted glycosyltransferases    
546,cds889,CDS,COG0500,823843,824256,-,[QR] SAM-dependent methyltransferases    
546,cds890,CDS,NA,824256,824618,-,NA
547,cds891,CDS,NA,824888,825681,-,NA
548,cds892,CDS,NA,825900,826841,-,NA
549,cds893,CDS,COG0438,827173,828207,-,[M] Glycosyltransferase     
549,cds894,CDS,COG1216,828219,829130,-,[R] Predicted glycosyltransferases    
550,cds895,CDS,NA,829169,831472,+,NA
551,cds896,CDS,COG3415,831632,832377,+,[L] Transposase and inactivated derivatives  
552,cds897,CDS,NA,832784,833023,+,NA
553,cds898,CDS,NA,833016,834081,-,NA
554,cds899,CDS,NA,834508,834693,-,NA
555,cds900,CDS,COG1216,834914,835816,+,[R] Predicted glycosyltransferases    
556,cds901,CDS,COG3119,835948,837249,+,[P] Arylsulfatase A and related enzymes 
557,cds902,CDS,COG1216,838085,839548,-,[R] Predicted glycosyltransferases    
557,cds903,CDS,COG2120,839572,840243,-,"[S] Uncharacterized proteins, LmbE homologs  "
558,cds904,CDS,ROG8270,840379,841365,-,NA
558,cds905,CDS,COG0175,841365,842270,-,[EH] 3'-phosphoadenosine 5'-phosphosulfate sulfotransferase (PAPS reductase)/FAD synthetase
559,cds906,CDS,COG2244,842563,843984,+,[R] Membrane protein involved in the export
560,cds907,CDS,COG2520,844100,844819,+,[R] Predicted methyltransferase    
561,cds908,CDS,COG2452,845308,845499,-,[L] Predicted site-specific integrase-resolvase   
561,cds909,CDS,COG1373,845545,846528,-,[R] Predicted ATPase (AAA+ superfamily)  
562,cds910,CDS,COG1517,847576,848940,-,[L] Uncharacterized protein predicted to be involved
563,cds911,CDS,COG0675,849044,850249,-,[L] Transposase and inactivated derivatives  
563,cds912,CDS,COG1943,850224,850631,-,[L] Transposase and inactivated derivatives  
564,cds913,CDS,COG3385,850908,851892,+,[L] FOG: Transposase and inactivated derivatives 
564,cds914,CDS,ROG1176,851954,852184,+,NA
564,cds915,CDS,NA,852242,852630,+,NA
565,cmr4_2,CDS,COG1336,852841,853623,+,[L] Uncharacterized protein predicted to be involved
565,cmr5_2,CDS,NA,853620,854090,+,NA
565,cmr1_2,CDS,NA,854083,855486,+,NA
565,cmr6_2,CDS,COG1604,855486,856223,+,[L] Uncharacterized protein predicted to be involved
565,cas10_2,CDS,COG1353,856208,858856,+,[R] Predicted hydrolase of the HD superfamily
565,cds921,CDS,NA,858863,859681,+,NA
566,cds922,CDS,COG3316,859845,860489,-,[L] Transposase and inactivated derivatives  
567,cds923,CDS,COG1373,860733,861926,-,[R] Predicted ATPase (AAA+ superfamily)  
568,cds924,CDS,COG1672,862105,862398,-,[R] Predicted ATPase (AAA+ superfamily)  
569,cds925,CDS,COG3415,862407,863375,+,[L] Transposase and inactivated derivatives  
570,cds926,CDS,ROG1097,863654,864178,+,NA
571,cds927,CDS,COG3385,864450,864929,+,[L] FOG: Transposase and inactivated derivatives 
572,cds928,CDS,ROG1524,865024,865983,+,NA
573,cds929,CDS,COG2250,866328,866714,+,[S] Uncharacterized conserved protein related to C-terminal
573,cds930,CDS,COG1708,866690,867034,+,[R] Predicted nucleotidyltransferases    
573,cds931,CDS,NA,867041,867175,+,NA
574,cds932,CDS,ROG1097,867367,867888,-,NA
575,cds933,CDS,NA,867960,868145,+,NA
575,cds934,CDS,NA,868151,869244,+,NA
576,cds935,CDS,ROG1934,869728,870216,+,NA
576,cds936,CDS,COG0535,870278,871414,+,[R] Predicted Fe-S oxidoreductases   
576,cds937,CDS,COG0535,871387,872439,+,[R] Predicted Fe-S oxidoreductases   
576,cds938,CDS,COG1012,872565,873974,+,[C] NAD-dependent aldehyde dehydrogenases   
577,cds939,CDS,NA,874661,874852,+,NA
577,cds940,CDS,ROG2022,874877,875119,+,NA
578,cds941,CDS,COG1672,875620,876711,-,[R] Predicted ATPase (AAA+ superfamily)  
579,cds942,CDS,COG0438,877100,878164,+,[M] Glycosyltransferase     
580,cds943,CDS,COG3547,878494,878613,+,[L] Transposase and inactivated derivatives  
581,cds944,CDS,NA,878895,879098,+,NA
581,cds945,CDS,ROG1923,879071,879631,+,NA
582,cds946,CDS,COG3415,879771,880740,-,[L] Transposase and inactivated derivatives  
583,cds947,CDS,COG2250,881064,881432,+,[S] Uncharacterized conserved protein related to C-terminal
583,cds948,CDS,COG1708,881413,881757,+,[R] Predicted nucleotidyltransferases    
584,cds949,CDS,COG3415,882039,882912,+,[L] Transposase and inactivated derivatives  
584,cds950,CDS,NA,882918,883151,+,NA
584,cds951,CDS,COG3385,883162,883494,+,[L] FOG: Transposase and inactivated derivatives 
585,cds952,CDS,NA,883769,885316,+,NA
586,cds953,CDS,NA,885500,885844,-,NA
586,cds954,CDS,COG2366,885850,888339,-,[R] Protein related to penicillin acylase 
587,cds955,CDS,COG3547,888606,889091,+,[L] Transposase and inactivated derivatives  
588,cds956,CDS,COG1708,889207,889566,-,[R] Predicted nucleotidyltransferases    
588,cds957,CDS,COG2250,889542,889931,-,[S] Uncharacterized conserved protein related to C-terminal
589,cds958,CDS,COG1708,890298,890603,-,[R] Predicted nucleotidyltransferases    
590,cds959,CDS,NA,891241,892380,-,NA
591,cds960,CDS,NA,892577,893953,+,NA
592,cds961,CDS,COG0500,894035,894568,+,[QR] SAM-dependent methyltransferases    
593,cds962,CDS,COG0436,894716,895786,-,[E] Aspartate/tyrosine/aromatic aminotransferase    
594,cds963,CDS,COG1591,895858,896265,+,[L] Holliday junction resolvase - archaeal type
595,cds964,CDS,ROG5318,896254,898050,-,NA
596,cds965,CDS,COG0530,898202,899131,+,[P] Ca2+/Na+ antiporter    
596,cds966,CDS,COG0531,899168,900421,+,[E] Amino acid transporters   
597,cds967,CDS,COG1449,900423,902042,-,[G] Alpha-amylase/alpha-mannosidase     
598,cds968,CDS,COG3839,902038,902937,+,"[G] ABC-type sugar transport systems, ATPase components"
598,cds969,CDS,COG3387,902934,904793,+,[G] Glucoamylase and related glycosyl hydrolases 
599,cds970,CDS,ROG1435,904919,906340,-,NA
600,cds971,CDS,COG2250,907000,907428,+,[S] Uncharacterized conserved protein related to C-terminal
600,cds972,CDS,COG1708,907391,907837,+,[R] Predicted nucleotidyltransferases    
601,cds973,CDS,COG1011,908145,908741,+,[R] Predicted hydrolase (HAD superfamily)  
602,cds974,CDS,NA,908753,909957,-,NA
603,cds975,CDS,COG3385,910170,911225,+,[L] FOG: Transposase and inactivated derivatives 
604,cds976,CDS,COG1373,911279,912007,+,[R] Predicted ATPase (AAA+ superfamily)  
605,cds977,CDS,COG1960,911993,912793,-,[I] Acyl-CoA dehydrogenases    
605,cds978,CDS,COG1235,912839,913480,-,[R] Metal-dependent hydrolases of the beta-lactamase superfamily
606,cds979,CDS,COG2250,913587,913946,+,[S] Uncharacterized conserved protein related to C-terminal
606,cds980,CDS,COG1708,913909,914322,+,[R] Predicted nucleotidyltransferases    
607,cds981,CDS,COG1373,914319,914949,-,[R] Predicted ATPase (AAA+ superfamily)  
608,cds982,CDS,COG2030,915177,915611,-,[I] Acyl dehydratase    
608,cds983,CDS,COG1960,915640,916731,-,[I] Acyl-CoA dehydrogenases    
609,cds984,CDS,COG0312,916812,918041,-,[R] Predicted Zn-dependent proteases and their inactivated
609,cds985,CDS,COG0312,918034,919410,-,[R] Predicted Zn-dependent proteases and their inactivated
610,cds986,CDS,ROG0689,919549,920613,-,NA
611,cds987,CDS,ROG7861,921132,921929,-,NA
612,cds988,CDS,COG3385,922054,923040,-,[L] FOG: Transposase and inactivated derivatives 
613,cds989,CDS,ROG3058,923559,924005,+,NA
613,cds990,CDS,COG2235,924037,925062,+,[E] Arginine deiminase    
614,cds991,CDS,COG0477,925063,926157,-,[GEPR] Permeases of the major facilitator superfamily
614,cds992,CDS,COG1350,926161,927450,-,[R] Predicted alternative tryptophan synthase beta-subunit (paralog
615,cds993,CDS,COG1131,927540,928367,+,"[V] ABC-type multidrug transport system, ATPase component"
615,cds994,CDS,NA,928357,929070,+,NA
616,cds995,CDS,NA,929218,930333,+,NA
617,cds996,CDS,COG4934,930504,934313,+,[O] Predicted protease    
617,cds997,CDS,NA,934355,935494,+,NA
618,cds998,CDS,COG0475,935472,936647,-,"[P] Kef-type K+ transport systems, membrane components"
619,cds999,CDS,ROG6033,936777,937358,-,NA
619,cds1000,CDS,COG2159,937345,938007,-,[R] Predicted metal-dependent hydrolase of the TIM-barrel
619,cds1001,CDS,COG2048,938028,938945,-,"[C] Heterodisulfide reductase, subunit B  "
619,cds1002,CDS,COG1150,938942,939634,-,"[C] Heterodisulfide reductase, subunit C  "
619,cds1003,CDS,ROG5231,939621,940232,-,NA
620,cds1004,CDS,COG1148,940348,941454,-,"[C] Heterodisulfide reductase, subunit A and related"
620,cds1005,CDS,COG2048,941512,942825,-,"[C] Heterodisulfide reductase, subunit B  "
620,cds1006,CDS,COG1150,943033,943875,-,"[C] Heterodisulfide reductase, subunit C  "
620,cds1007,CDS,COG0425,943944,944186,-,"[O] Predicted redox protein, regulator of disulfide"
620,cds1008,CDS,COG2210,944198,944629,-,[S] Uncharacterized conserved protein   
621,cds1009,CDS,COG2044,944787,945188,+,[R] Predicted peroxiredoxins    
621,cds1010,CDS,COG1249,945199,946536,+,"[C] Pyruvate/2-oxoglutarate dehydrogenase complex, dihydrolipoamide dehydrogenase (E3)"
621,cds1011,CDS,ROG8477,946499,946867,+,NA
621,cds1012,CDS,ROG7322,946864,947424,+,NA
622,cds1013,CDS,ROG6492,947384,947776,-,NA
623,cds1014,CDS,COG2427,947769,949028,+,[S] Uncharacterized conserved protein   
624,cds1015,CDS,COG0123,948993,950030,-,"[BQ] Deacetylases, including yeast histone deacetylase and"
624,cds1016,CDS,ROG8153,949975,950814,-,NA
624,cds1017,CDS,COG2516,950817,951872,-,[R] Biotin synthase-related enzyme   
624,cds1018,CDS,COG1856,951869,952774,-,[S] Uncharacterized homolog of biotin synthetase 
624,cds1019,CDS,COG0095,952771,953805,-,[H] Lipoate-protein ligase A   
625,cds1020,CDS,COG1832,953912,954376,+,[R] Predicted CoA-binding protein   
625,cds1021,CDS,COG3355,954409,954744,+,[K] Predicted transcriptional regulator   
626,cds1022,CDS,ROG7858,954727,954993,-,NA
627,cds1023,CDS,ROG3676,955041,955208,+,NA
628,cds1024,CDS,COG3355,955221,955598,-,[K] Predicted transcriptional regulator   
629,cds1025,CDS,ROG7896,955677,956048,-,NA
629,cds1026,CDS,ROG6898,956083,956577,-,NA
630,cds1027,CDS,COG0509,956630,957052,+,[E] Glycine cleavage system H protein (lipoate-binding)
630,cds1028,CDS,NA,957042,957368,+,NA
631,cds1029,CDS,COG0738,957349,958485,-,[G] Fucose permease    
631,cds1030,CDS,COG2522,958489,958809,-,[R] Predicted transcriptional regulator   
632,cds1031,CDS,COG3355,959010,959393,+,[K] Predicted transcriptional regulator   
632,cds1032,CDS,ROG3544,959418,959603,+,NA
633,cds1033,CDS,NA,959591,959896,-,NA
634,cds1034,CDS,ROG3248,959950,960246,+,NA
